timestamp_ms,last,bid,ask,bid_size,ask_size,volume,bar_volume
1704295128083,183.95,183.76,183.91,100,400,289955,0
1704295128127,183.95,183.76,183.91,100,400,289955,0
1704295128154,183.95,183.76,183.91,100,400,289955,0
1704295128161,183.95,183.76,183.91,100,300,289955,0
1704295128167,183.95,183.76,183.91,100,300,289955,0
1704295128174,183.95,183.76,183.91,100,400,289955,0
1704295128175,183.95,183.76,183.91,100,300,289955,0
1704295128188,183.95,183.76,183.91,100,400,289955,0
1704295128230,183.95,183.76,183.91,100,300,289955,0
1704295128231,183.95,183.76,183.91,100,400,289955,0
1704295128243,183.95,183.76,183.91,100,500,289955,0
1704295128284,183.95,183.76,183.91,100,400,289955,0
1704295128366,183.95,183.76,183.91,100,300,289955,0
1704295128367,183.95,183.76,183.91,100,400,289955,0
1704295128373,183.95,183.76,183.91,100,500,289955,0
1704295128377,183.95,183.76,183.91,100,300,289955,0
1704295128406,183.95,183.76,183.9,100,100,289955,0
1704295128408,183.95,183.76,183.9,100,100,289955,0
1704295128409,183.95,183.86,183.9,2200,100,289955,0
1704295128410,183.95,183.76,183.91,100,300,289955,0
1704295128449,183.95,183.76,183.9,100,100,289955,0
1704295128450,183.95,183.76,183.9,100,200,289955,0
1704295128451,183.95,183.76,183.9,100,200,289955,0
1704295128514,183.95,183.76,183.9,100,100,289955,0
1704295128563,183.95,183.76,183.9,100,200,289955,0
1704295128564,183.95,183.76,183.9,100,400,289955,0
1704295128565,183.95,183.84,183.9,2400,400,289955,0
1704295128566,183.95,183.84,183.9,2400,200,289955,0
1704295128570,183.95,183.84,183.9,2400,100,289955,0
1704295128571,183.95,183.84,183.91,2400,300,289955,0
1704295128572,183.95,183.76,183.91,100,300,289955,0
1704295128647,183.95,183.76,183.9,100,100,289955,0
1704295128673,183.95,183.76,183.9,100,100,289955,0
1704295128746,183.95,183.76,183.9,100,100,289955,0
1704295128756,183.95,183.76,183.9,100,100,289955,0
1704295128800,183.95,183.76,183.9,100,100,289955,0
1704295128801,183.95,183.76,183.9,100,200,289955,0
1704295128802,183.95,183.84,183.9,2400,400,289955,0
1704295128824,183.95,183.84,183.9,2400,300,289955,0
1704295128829,183.95,183.84,183.9,2400,200,289955,0
1704295128830,183.95,183.84,183.9,2400,300,289955,0
1704295128831,183.95,183.84,183.9,2400,100,289955,0
1704295128836,183.95,183.84,183.9,2400,100,289955,0
1704295128837,183.95,183.84,183.9,2400,100,289955,0
1704295128846,183.95,183.84,183.9,2400,200,289955,0
1704295128847,183.95,183.84,183.91,2400,300,289955,0
1704295128853,183.95,183.84,183.9,2400,100,289955,0
1704295128854,183.95,183.84,183.9,2400,200,289955,0
1704295128915,183.95,183.84,183.9,2400,400,289955,0
1704295128916,183.95,183.84,183.9,2400,100,289955,0
1704295128954,183.95,183.84,183.91,2400,300,289955,0
1704295128955,183.95,183.76,183.91,100,300,289955,0
1704295128958,183.95,183.76,183.9,100,100,289955,0
1704295128959,183.95,183.76,183.9,100,500,289955,0
1704295128988,183.95,183.76,183.9,100,400,289955,0
1704295129056,183.95,183.76,183.9,100,300,289955,0
1704295129058,183.95,183.76,183.91,100,300,289955,0
1704295129061,183.95,183.76,183.9,100,100,289955,0
1704295129062,183.95,183.76,183.9,100,100,289955,0
1704295129090,183.95,183.86,183.9,2400,300,289955,0
1704295129091,183.95,183.86,183.9,2400,200,289955,0
1704295129102,183.95,183.86,183.9,2400,100,289955,0
1704295129178,183.95,183.86,183.91,2400,300,289955,0
1704295129179,183.95,183.76,183.91,100,300,289955,0
1704295129180,183.95,183.76,183.9,100,100,289955,0
1704295129181,183.95,183.76,183.9,100,200,289955,0
1704295129212,183.95,183.76,183.9,100,200,289955,0
1704295129213,183.95,183.76,183.91,100,300,289955,0
1704295129225,183.95,183.89,183.91,100,300,289955,0
1704295129227,183.95,183.89,183.91,100,200,289955,0
1704295129252,183.95,183.76,183.91,100,200,289955,0
1704295129268,183.95,183.76,183.9,100,100,289955,0
1704295129274,183.95,183.76,183.9,100,200,289955,0
1704295129275,183.95,183.76,183.91,100,200,289955,0
1704295129347,183.95,183.89,183.91,100,200,289955,0
1704295129357,183.95,183.76,183.91,100,200,289955,0
1704295129674,183.95,183.76,183.9,100,100,289955,0
1704295129675,183.95,183.76,183.9,100,200,289955,0
1704295129676,183.95,183.76,183.9,100,100,289955,0
1704295129728,183.95,183.76,183.9,100,200,289955,0
1704295129776,183.95,183.76,183.9,100,300,289955,0
1704295129791,183.95,183.76,183.9,100,300,289955,0
1704295129859,183.95,183.76,183.9,100,400,289955,0
1704295129890,183.95,183.76,183.9,100,300,289955,0
1704295129891,183.95,183.76,183.91,100,200,289955,0
1704295129951,183.95,183.76,183.9,100,100,289955,0
1704295129993,183.95,183.76,183.9,100,200,289955,0
1704295130026,183.95,183.76,183.9,100,200,289955,0
1704295130060,183.95,183.76,183.9,100,200,289955,0
1704295130085,183.95,183.76,183.9,100,200,289955,0
1704295130250,183.95,183.76,183.91,100,200,289955,0
1704295130285,183.95,183.76,183.9,100,100,289955,0
1704295130296,183.95,183.76,183.9,100,100,289955,0
1704295130304,183.95,183.76,183.91,100,200,289955,0
1704295130369,183.95,183.89,183.91,100,200,289955,0
1704295130370,183.95,183.89,183.91,300,100,289955,0
1704295130382,183.95,183.89,183.91,300,100,289955,0
1704295130385,183.95,183.89,183.91,300,100,289955,0
1704295130386,183.95,183.89,183.91,200,300,289955,0
1704295130388,183.95,183.89,183.91,300,300,289955,0
1704295130391,183.95,183.89,183.91,200,200,289955,0
1704295130392,183.95,183.89,183.91,200,200,289955,0
1704295130408,183.95,183.9,183.91,100,200,289955,0
1704295130409,183.95,183.89,183.91,200,200,289955,0
1704295130445,183.95,183.89,183.91,200,300,289955,0
1704295130453,183.95,183.89,183.91,200,200,289955,0
1704295130454,183.95,183.89,183.91,200,100,289955,0
1704295130483,183.95,183.89,183.92,200,200,289955,0
1704295130489,183.95,183.9,183.92,100,200,289955,0
1704295130505,183.95,183.9,183.92,200,200,289955,0
1704295130506,183.95,183.9,183.92,100,200,289955,0
1704295130508,183.95,183.89,183.92,200,200,289955,0
1704295130515,183.95,183.89,183.91,200,100,289955,0
1704295130516,183.95,183.89,183.91,200,100,289955,0
1704295130519,183.95,183.89,183.92,200,200,289955,0
1704295130574,183.95,183.89,183.91,200,100,289955,0
1704295130581,183.95,183.89,183.91,100,100,289955,0
1704295130582,183.95,183.89,183.91,100,100,289955,0
1704295130614,183.95,183.89,183.92,100,200,289955,0
1704295130650,183.95,183.9,183.92,100,200,289955,0
1704295130674,183.95,183.89,183.92,100,200,289955,0
1704295130675,183.95,183.89,183.91,100,100,289955,0
1704295130722,183.95,183.89,183.91,100,100,289955,0
1704295130723,183.95,183.89,183.92,100,200,289955,0
1704295130729,183.95,183.89,183.91,100,100,289955,0
1704295130777,183.95,183.89,183.92,100,200,289955,0
1704295130785,183.95,183.9,183.92,100,200,289955,0
1704295130786,183.95,183.9,183.92,300,100,289955,0
1704295130806,183.95,183.9,183.92,200,300,289955,0
1704295130811,183.95,183.9,183.92,200,200,289955,0
1704295130812,183.95,183.9,183.93,200,300,289955,0
1704295130826,183.95,183.91,183.93,100,300,289955,0
1704295130827,183.95,183.91,183.93,300,100,289955,0
1704295130828,183.95,183.91,183.93,300,200,289955,0
1704295130830,183.95,183.91,183.93,300,200,289955,0
